Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-1.88,3.48,4.74,0.06,-0.09,-0.07
63,-0.3,-1.27,10.77,-0.04,0.01,-0.01
128,0.52,-0.77,8.93,-0.13,0.08,-0.0
191,-1.25,1.6,8.41,-0.34,0.1,0.02
253,-0.25,0.72,9.17,-0.16,0.1,-0.0
316,1.81,0.63,10.92,-0.2,0.11,-0.0
378,3.08,-0.0,13.55,0.22,0.07,-0.05
441,1.0,2.32,12.0,0.22,-0.09,-0.02
503,-1.12,0.08,9.38,0.37,-0.11,0.01
564,5.78,-5.36,19.61,0.26,0.27,-0.11
626,-2.05,-2.19,7.6,0.01,-0.12,-0.04
691,-2.5,-1.04,8.87,0.01,-0.08,-0.03
755,-1.82,-2.51,9.92,-0.36,0.08,0.03
819,-0.21,-1.27,8.27,-0.2,0.09,0.02
882,0.87,-1.25,9.27,-0.17,0.07,-0.02
945,-0.41,0.62,7.97,-0.29,0.1,-0.02
1008,1.12,0.46,9.69,-0.17,0.15,0.01
1069,2.27,1.11,10.43,-0.09,0.04,-0.02
1131,1.99,0.62,14.29,-0.1,0.04,-0.05
1193,0.97,2.27,10.86,-0.06,0.01,0.01
1254,0.9,1.49,10.06,0.09,-0.06,-0.01
1316,-0.95,0.25,11.0,0.12,-0.02,-0.0
1379,-0.91,0.96,9.01,0.17,-0.05,0.0
1441,-0.6,-0.44,9.42,0.16,-0.04,-0.01
1505,0.11,-2.31,11.41,-0.12,-0.0,-0.01
1570,-0.55,-0.04,8.96,-0.03,0.04,0.0
1633,0.47,-1.58,11.93,-0.08,0.09,0.0
1695,-0.25,-0.32,9.74,-0.14,0.03,-0.01
1760,-0.44,-0.09,9.61,-0.06,0.0,-0.02
1824,1.06,-1.24,13.46,0.04,0.1,-0.01
1886,2.22,-1.7,11.73,-0.2,0.15,-0.0
1949,-0.49,0.05,9.0,-0.15,0.05,-0.01
2013,-0.0,0.17,7.52,-0.08,0.07,-0.01
2076,2.13,-1.67,11.59,-0.05,0.1,-0.01
2139,-0.14,-0.07,10.15,-0.17,0.08,-0.0
2204,-0.33,0.68,7.97,-0.11,0.07,-0.01
2267,1.4,-0.12,10.62,-0.04,0.09,-0.01
2330,0.08,0.5,10.51,-0.12,0.05,-0.01
2392,0.79,0.25,12.2,-0.01,0.1,-0.0
2454,0.34,-1.13,10.86,-0.09,0.09,0.0
2516,-0.76,-0.53,9.65,-0.1,0.02,-0.01
2581,0.62,-2.58,15.12,-0.01,0.13,0.03
2643,1.15,-2.13,10.6,-0.23,0.13,0.0
2705,-0.97,-0.1,8.63,-0.13,0.03,-0.01
2769,-0.24,-0.26,7.55,-0.13,0.07,-0.02
2834,1.52,-1.94,10.92,-0.04,0.11,-0.01
2897,-0.01,-0.5,10.53,-0.18,0.09,-0.0
2962,-0.07,-0.88,12.59,-0.15,0.14,0.04
3025,0.06,1.1,9.18,-0.23,0.1,0.03
3086,0.06,1.42,9.44,-0.1,0.02,-0.02
3147,-0.01,1.22,8.57,-0.1,0.04,-0.0
3211,0.53,3.21,5.77,-0.01,0.03,-0.03
3272,0.42,0.63,9.74,0.01,0.06,-0.0
3333,0.71,0.36,9.55,-0.06,0.05,-0.01
3395,0.38,1.01,7.32,-0.13,0.07,-0.01
3457,0.21,-0.08,9.06,-0.12,0.1,0.02
3519,1.07,-0.28,10.21,-0.13,0.08,-0.01
3582,-1.86,3.94,8.2,-0.3,0.09,0.05
3644,-0.12,2.84,9.55,-0.02,-0.02,-0.01
3708,0.81,1.64,10.53,-0.04,0.0,-0.01
3770,-0.58,1.11,9.3,-0.03,-0.16,-0.01
3835,-1.07,0.4,9.63,0.18,-0.06,-0.0
3898,0.37,-1.18,9.84,0.06,0.0,-0.01
3960,0.09,-2.73,11.53,-0.07,-0.02,-0.03
4024,-0.26,-0.31,8.8,-0.04,0.04,0.01
4088,0.57,-0.82,9.83,-0.02,0.05,-0.01
4151,-0.93,-2.13,10.7,0.03,-0.0,-0.01
4216,-0.32,1.22,8.68,-0.13,0.05,0.01
4277,2.55,-0.44,14.37,0.14,0.07,-0.03
4339,1.87,-1.45,13.01,0.05,-0.01,-0.04
4403,-1.06,0.66,9.42,0.0,-0.02,-0.0
4466,-0.13,0.07,9.22,0.05,0.02,0.0
4527,0.87,-1.16,10.26,-0.07,0.01,-0.02
4590,-0.34,-0.43,9.14,-0.02,0.05,0.0
4653,0.18,-0.72,9.86,-0.04,0.04,-0.01
4716,3.88,-3.56,16.73,0.2,0.19,-0.11
4778,-0.15,-0.46,10.57,-0.29,0.07,-0.0
4843,-0.3,0.25,9.48,-0.1,0.05,-0.01
4906,-0.72,1.07,9.09,0.02,-0.0,-0.01
4969,2.11,-1.11,10.69,-0.06,0.04,-0.01
5033,0.34,-0.01,9.36,-0.03,0.0,-0.02
5096,-1.3,0.11,12.46,0.14,-0.03,-0.01
5159,1.23,-0.77,10.64,-0.06,0.09,0.02
5221,0.37,0.9,5.92,-0.1,0.01,-0.01
5283,-4.73,3.77,5.12,0.15,-0.13,-0.05
5346,1.14,-1.33,10.54,0.09,0.14,0.04
5407,2.33,-1.66,9.96,-0.06,0.05,-0.01
5470,-3.21,2.44,4.69,-0.05,-0.05,-0.01
