Time_ms,Ax,Ay,Az,Gx,Gy,Gz
6724,-1.86,-2.52,8.38,0.18,0.06,0.04
6786,1.97,-1.54,6.02,-0.25,-0.11,-0.03
6851,-5.81,-0.06,10.55,-0.09,-0.03,-0.04
6917,-3.87,0.55,9.1,-0.06,0.09,0.04
6979,1.94,-1.68,8.95,-0.01,0.28,0.0
7040,2.79,-1.21,10.67,-0.29,0.02,-0.05
7104,-2.8,3.53,10.41,-0.2,-0.04,-0.05
7168,-1.3,1.97,11.25,-0.11,0.01,-0.01
7232,-0.3,0.96,9.77,-0.05,0.06,0.01
7293,0.7,-0.22,9.84,-0.04,0.02,-0.01
7357,0.66,1.37,7.84,-0.19,0.14,0.02
7417,1.66,0.99,8.67,-0.09,-0.01,-0.02
7480,0.42,1.37,10.37,-0.05,-0.0,-0.02
7544,1.53,2.4,8.99,-0.17,0.11,0.03
7604,1.4,1.92,9.09,0.15,-0.12,-0.02
7666,-1.56,-0.08,11.35,0.33,-0.11,-0.01
7731,0.06,-1.09,9.94,0.07,0.01,-0.0
7792,-1.43,-1.06,9.03,-0.02,0.01,-0.01
7857,0.61,-2.66,11.34,-0.13,0.16,0.0
7919,0.94,-1.65,9.63,-0.27,0.03,-0.06
7982,-3.35,-0.17,9.7,-0.25,0.1,-0.01
8047,0.64,-1.37,11.86,-0.34,0.31,0.06
8109,4.96,-0.08,9.87,-0.26,0.13,-0.05
8172,-1.88,2.23,10.08,-0.15,-0.11,-0.06
8237,-3.56,0.97,10.27,-0.1,0.09,-0.01
8300,3.26,-3.57,9.72,0.07,0.1,0.11
8361,2.0,-2.4,7.49,0.03,-0.16,-0.07
8424,-4.02,0.97,10.26,-0.02,-0.15,-0.02
8489,-2.44,0.61,10.06,0.05,-0.06,-0.02
8552,-1.04,0.28,9.89,0.03,0.02,0.01
8613,1.56,-0.32,9.83,0.02,0.09,0.04
8673,1.24,0.23,10.18,-0.0,-0.04,-0.04
8736,-0.88,1.06,10.04,0.01,-0.03,-0.02
8800,2.52,0.53,10.03,0.03,0.07,0.02
8859,0.12,0.82,10.25,0.12,-0.2,-0.08
8921,-3.73,0.9,9.48,0.16,-0.05,0.0
8983,1.72,-1.44,10.22,0.14,0.2,0.04
9043,2.92,-1.96,10.78,-0.12,-0.12,-0.04
9108,-4.68,1.93,10.46,-0.17,-0.1,-0.04
9173,2.21,-0.17,9.62,0.02,0.26,0.13
9233,3.09,-2.4,7.38,-0.14,-0.14,-0.04
9298,-3.5,2.64,8.96,-0.05,-0.23,-0.05
9362,2.71,0.86,9.19,-0.0,0.18,0.02
9423,2.9,-0.36,11.07,0.07,-0.18,-0.04
9486,-4.56,1.67,10.13,0.09,-0.17,-0.03
9549,-0.09,2.11,10.11,-0.19,-0.2,-0.03
9614,0.3,-2.16,9.16,0.14,0.02,0.03
9675,1.98,-2.89,9.36,-0.03,-0.06,-0.08
9739,-0.48,-1.55,8.94,-0.08,0.01,0.02
9802,-0.38,-0.86,9.5,-0.1,0.02,-0.03
9867,-0.2,-0.73,9.68,-0.11,0.03,-0.01
9931,-3.01,1.49,6.84,-0.05,-0.0,0.02
9995,1.49,-1.4,10.13,-0.12,0.1,-0.01
10058,0.12,-0.82,9.59,-0.14,-0.02,-0.06
10122,-2.19,-0.32,9.84,-0.16,0.02,-0.02
10187,-4.6,0.73,8.2,-0.23,0.12,0.01
10249,2.49,-0.09,9.93,-0.27,0.27,-0.01
10312,2.82,0.34,10.03,-0.26,0.09,-0.02
10374,1.14,3.24,9.79,-0.22,0.14,0.03
10435,1.75,2.71,10.73,0.01,-0.06,-0.01
10497,-1.01,2.74,10.39,0.15,-0.14,-0.03
10560,1.82,0.98,9.35,0.19,0.1,0.09
10619,1.98,-1.05,9.37,0.15,-0.15,-0.07
10682,-3.53,0.68,10.05,0.03,-0.11,-0.03
10746,3.21,-2.44,10.34,0.01,0.15,0.03
10806,0.98,0.06,10.17,-0.07,-0.13,-0.09
10869,-3.75,2.11,9.85,0.03,0.03,0.05
10930,5.0,-1.99,9.9,0.11,0.2,0.02
10991,-3.57,3.16,9.24,-0.21,-0.2,-0.06
11055,-3.8,3.22,10.7,0.05,0.03,0.08
11116,1.54,-0.59,10.75,0.2,0.12,-0.04
11178,2.52,-1.49,9.85,0.06,0.03,0.01
11238,-1.05,-1.34,9.5,-0.08,-0.1,-0.07
11304,-5.97,-0.57,8.71,-0.07,-0.08,0.01
11369,-0.11,-3.01,9.11,0.01,0.3,0.09
11431,1.53,-2.62,9.61,-0.37,-0.0,-0.14
11495,-4.37,0.49,7.01,-0.31,-0.07,-0.07
11560,0.07,-0.74,9.02,0.03,0.36,0.08
11620,5.02,-1.89,10.18,-0.2,0.17,0.02
11682,-3.18,2.92,6.38,-0.12,-0.31,-0.01
11747,-2.34,1.15,7.31,0.15,0.17,0.11
11807,4.12,-1.82,9.7,0.04,0.14,-0.01
11869,-1.36,1.51,7.94,0.05,-0.16,-0.06
11933,-1.03,-0.01,9.72,0.07,0.03,0.01
11994,1.61,-1.22,9.64,0.1,0.0,-0.01
12056,0.35,-0.59,16.55,0.01,-0.09,-0.1
12119,-2.17,-1.11,8.84,0.11,0.07,0.04
12181,2.72,-3.49,9.1,0.0,0.05,-0.01
12243,-1.78,-1.14,9.7,-0.14,-0.1,-0.07
12309,0.38,-1.48,10.29,-0.06,-0.04,-0.05
12374,-1.44,0.38,9.57,-0.03,-0.04,-0.03
12438,-0.54,0.18,9.85,0.02,0.0,-0.0
12500,4.47,2.88,19.61,-0.13,0.08,-0.21
12562,-4.39,-0.11,8.84,0.22,-0.01,0.03
12625,0.08,-2.08,9.24,0.1,0.09,0.04
12686,1.92,-3.81,9.65,-0.09,0.08,-0.04
12749,-3.62,-0.39,9.23,-0.16,0.02,-0.02
12814,-1.91,-0.32,9.62,-0.17,0.15,0.04
12877,2.69,-0.2,9.95,-0.17,0.28,-0.02
12940,3.17,-0.33,10.25,-0.3,0.05,-0.02
