Ax_Mean,Ax_Std,Ax_Variance,Ax_RMS,Ax_Maximum,Ax_Minimum,Ax_Peak_to_Peak,Ay_Mean,Ay_Std,Ay_Variance,Ay_RMS,Ay_Maximum,Ay_Minimum,Ay_Peak_to_Peak,Az_Mean,Az_Std,Az_Variance,Az_RMS,Az_Maximum,Az_Minimum,Az_Peak_to_Peak,Gx_Mean,Gx_Std,Gx_Variance,Gx_RMS,Gx_Maximum,Gx_Minimum,Gx_Peak_to_Peak,Gy_Mean,Gy_Std,Gy_Variance,Gy_RMS,Gy_Maximum,Gy_Minimum,Gy_Peak_to_Peak,Gz_Mean,Gz_Std,Gz_Variance,Gz_RMS,Gz_Maximum,Gz_Minimum,Gz_Peak_to_Peak,AccelMag_Mean,AccelMag_Std,AccelMag_Variance,AccelMag_RMS,AccelMag_Maximum,AccelMag_Minimum,AccelMag_Peak_to_Peak,GyroMag_Mean,GyroMag_Std,GyroMag_Variance,GyroMag_RMS,GyroMag_Maximum,GyroMag_Minimum,GyroMag_Peak_to_Peak,Label,File
0.29929999999999995,1.023082846107782,1.04669851,1.065963883065463,2.91,-2.63,5.54,-0.7071000000000001,1.2141015567076752,1.47404259,1.4050028469722045,2.9,-4.31,7.209999999999999,10.0276,1.1705803005347388,1.3702582399999996,10.095693141136966,13.58,5.65,7.93,-0.049800000000000004,0.12880978223721987,0.01659196,0.13810141201305653,0.46,-0.34,0.8,0.030300000000000004,0.06869432290953889,0.00471891,0.07507995737878385,0.17,-0.36,0.53,-0.0104,0.024694938752708014,0.0006098400000000001,0.02679552201394853,0.09,-0.13,0.22,10.174902215193812,1.2266608786637048,1.504696911244012,10.248577071964672,13.98919940525547,5.67261844301201,8.31658096224346,0.1281051078591742,0.09495304808372056,0.009016081340389347,0.15945845854014767,0.49203658400570177,0.024494897427831782,0.46754168657787,Minor_Fault,Minor_fault_001_window_001.csv
0.29969999999999997,1.4220966598652849,2.02235891,1.453333753822569,2.91,-4.02,6.93,-0.8092000000000001,1.482801186943145,2.1986993599999995,1.6892317780577064,2.72,-4.79,7.51,10.0084,1.709224221686552,2.9214474399999997,10.153300842583166,14.86,3.85,11.01,-0.045599999999999995,0.16048875350005057,0.025756639999999997,0.1668412419037931,0.46,-0.36,0.8200000000000001,0.03280000000000001,0.08451130101944947,0.007142160000000001,0.09065318527222306,0.23,-0.36,0.59,-0.008900000000000002,0.03279923779602203,0.0010757899999999999,0.03398529093593285,0.09,-0.13,0.22,10.255192285168366,1.6988914604009404,2.8862321942232403,10.394960365484806,15.11562436685961,4.294007452252499,10.82161691460711,0.1679893477209567,0.09480811701688577,0.008988579052287504,0.19289634522198704,0.49203658400570177,0.01,0.48203658400570176,Minor_Fault,Minor_fault_001_window_002.csv
0.21909999999999993,1.303465454087679,1.6990221899999995,1.3217514895017142,2.63,-4.02,6.6499999999999995,-0.4757999999999999,1.5093026071666342,2.2779943599999997,1.5825233015662044,3.36,-4.79,8.15,9.8885,1.5844054878723437,2.5103407499999997,10.014627951152255,14.86,3.85,11.01,-0.044199999999999996,0.15550035369734694,0.024180359999999998,0.16166013732519222,0.43,-0.36,0.79,0.03640000000000001,0.07547873872820081,0.005697040000000001,0.0837973746605465,0.23,-0.15,0.38,-0.0039000000000000003,0.029795805073869037,0.00088779,0.030049958402633442,0.09,-0.12,0.21,10.106396257342718,1.5507851848560752,2.4049346895690915,10.22468483621867,15.11562436685961,4.294007452252499,10.82161691460711,0.15870345808099445,0.0941924221640681,0.008872212393134028,0.18455080601287008,0.4414748010928823,0.01,0.4314748010928823,Minor_Fault,Minor_fault_001_window_003.csv
0.23759999999999998,1.3974928407687819,1.95298624,1.4175471773454316,6.34,-3.81,10.15,-0.7051000000000001,1.68362851900293,2.83460499,1.8253139455994958,4.84,-5.81,10.649999999999999,10.172300000000002,3.0549339943769653,9.33262171,10.621125599483324,19.61,-0.88,20.49,-0.08259999999999999,0.16831886406460803,0.028331239999999997,0.18749399990399693,0.43,-0.73,1.16,0.0427,0.0933151113164422,0.008707709999999999,0.10262066068779717,0.52,-0.25,0.77,-0.011,0.036097091295560095,0.0013030000000000003,0.03773592452822642,0.16,-0.12,0.28,10.47548474859882,2.9006446321246573,8.413739281873589,10.86966052827778,20.656904414747142,2.9986997182112116,17.658204696535932,0.16661678358748183,0.13909653995323618,0.019347847426962227,0.21704607805717202,0.8998333178983761,0.01414213562373095,0.8856911822746452,Minor_Fault,Minor_fault_002_window_001.csv
0.19329999999999997,1.6782896382925085,2.8166561099999994,1.689384799268657,6.34,-5.57,11.91,-0.8764,1.7933597073649223,3.21613904,1.9960500995716515,4.84,-6.0,10.84,9.655,3.1835597999723513,10.135052999999997,10.166320770072131,19.61,-3.57,23.18,-0.04800000000000001,0.2026376075658218,0.041062,0.20824504796032964,0.74,-0.81,1.55,0.0243,0.11442250652734363,0.013092509999999996,0.11697435616407556,0.29,-0.6,0.8899999999999999,-0.009300000000000001,0.05827958476173282,0.00339651,0.059016946718718,0.18,-0.39,0.5700000000000001,10.111084901574038,2.821041848885183,7.958277113161533,10.49725273583522,20.656904414747142,2.7193565415369862,17.937547873210157,0.1865322953597538,0.16042974408700392,0.02573770278782157,0.2460325181759517,0.9209777413162601,0.02,0.9009777413162601,Minor_Fault,Minor_fault_002_window_002.csv
-0.13379999999999995,2.1633186450451536,4.67994756,2.167452421623137,6.28,-7.57,13.850000000000001,-0.8619,1.438491359028618,2.06925739,1.6769403686476154,3.25,-6.0,9.25,9.6964,3.4143223397916014,11.657597039999995,10.279969357930986,19.61,-3.57,23.18,-0.001100000000000001,0.19302795134384035,0.037259789999999994,0.19303108557949936,0.76,-0.81,1.57,0.0019999999999999996,0.13516656391282572,0.018269999999999998,0.13518135966175218,0.29,-0.63,0.9199999999999999,-0.006199999999999999,0.0711305841393138,0.005059559999999999,0.07140028011149537,0.28,-0.39,0.67,10.199147928644003,3.0273966587873375,9.165130529636734,10.638973117740264,20.594353595099797,2.3135470602518553,18.28080653484794,0.17366771183813356,0.174563816024132,0.030472525864907004,0.2462376900476448,1.0261091559868276,0.01,1.0161091559868276,Minor_Fault,Minor_fault_002_window_003.csv
0.19939999999999997,1.3321147247891225,1.77452964,1.3469558270411097,7.08,-2.38,9.46,-0.5903999999999998,1.945838595567474,3.7862878399999995,2.033435516558123,5.29,-7.67,12.96,9.7485,2.938083856869984,8.63233675,10.181629977562531,19.61,-0.39,20.0,-0.0408,0.15425096434058364,0.023793360000000003,0.15955563293096237,0.48,-0.48,0.96,0.0331,0.10844072113371434,0.011759389999999998,0.11337989239719713,0.46,-0.54,1.0,-0.0119,0.02955317241854079,0.0008733900000000001,0.031859064644147984,0.07,-0.1,0.17,10.106728608582664,2.732906114826622,7.46877583245674,10.469705774280383,20.959508582025485,2.6775735284021613,18.281935053623325,0.1522856657741208,0.12703179129545786,0.016137075999732766,0.19831288409984865,0.7258787777583803,0.024494897427831782,0.7013838803305485,Minor_Fault,Minor_fault_003_window_001.csv
0.2643,1.3657988541509325,1.86540651,1.3911365856737432,7.08,-2.54,9.620000000000001,-0.376,1.7402850341251574,3.0285920000000006,1.7804403949585057,5.29,-4.24,9.530000000000001,9.9636,2.601349080765594,6.767017040000001,10.297589135326772,19.61,2.63,16.98,-0.026600000000000002,0.17035386699455932,0.029020440000000005,0.17241809649801842,0.6,-0.48,1.08,0.029000000000000005,0.09324698386543127,0.008695,0.09765244492586964,0.46,-0.45,0.91,-0.0116,0.029923903488682756,0.00089544,0.03209361307176243,0.07,-0.11,0.18,10.224634939788245,2.5695157808547173,6.602411348061429,10.54255998322988,20.959508582025485,2.6775735284021613,18.281935053623325,0.14692328862612108,0.13677553604093648,0.01870754725928551,0.20073365437813365,0.7580237463298891,0.01,0.7480237463298891,Minor_Fault,Minor_fault_003_window_002.csv
0.055099999999999996,1.1677212809570614,1.3635729900000002,1.1690205301875582,4.26,-4.05,8.309999999999999,-0.4492000000000001,1.7510714891174488,3.0662513599999994,1.8077698968618765,4.17,-8.29,12.459999999999999,9.8795,2.9973636332617373,8.984188750000001,10.324180790745578,19.61,-2.56,22.169999999999998,-0.04569999999999999,0.16722592502360392,0.027964509999999998,0.17335801106380982,0.6,-0.5,1.1,0.0298,0.08280072463451031,0.006855960000000002,0.08800000000000001,0.22,-0.45,0.67,-0.005600000000000001,0.02826021939051429,0.0007986399999999999,0.028809720581775864,0.07,-0.11,0.18,10.249685002936175,2.483406398595539,6.167307340585263,10.54624814803824,20.242907399877122,4.191718024867607,16.051189375009514,0.1500110183354999,0.12697911000611997,0.016123694377946318,0.19653752822298343,0.7580237463298891,0.01,0.7480237463298891,Minor_Fault,Minor_fault_003_window_003.csv
0.08149999999999999,1.4386079208735087,2.0695927499999995,1.4409146400810842,3.05,-4.63,7.68,0.0071000000000000126,1.9224600359955468,3.6958525899999994,1.922473146756542,7.35,-9.58,16.93,9.3243,2.5715926018714548,6.613088509999999,9.67241743309293,19.18,-0.8,19.98,-0.042300000000000004,0.16247987567695885,0.02639971,0.16789580101956095,0.49,-0.61,1.1,0.014700000000000005,0.12561413137063837,0.015778909999999997,0.1264713406270369,0.35,-0.69,1.04,-0.0017000000000000008,0.04015108964897466,0.0016121100000000001,0.04018706259482024,0.2,-0.11,0.31,9.72476616350284,2.1809906155667536,4.7567200651902475,9.966333177252304,19.335131238240923,1.5314698821720263,17.803661356068897,0.16055135357287373,0.14150004546260075,0.020022262865918083,0.21400700923100627,0.7387827826905551,0.01414213562373095,0.7246406470668242,Minor_Fault,Minor_fault_004_window_001.csv
