Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy,Label,File,Label_ID
19.08,25.35613535221801,642.9336,31.73294817693433,91.0,0.0,91.0,5.5,3216467.9999999995,Minor_Fault,Minor_fault_004_window_002.csv,1
18.89,25.117681023534,630.8979,31.42817207538485,82.0,0.0,82.0,5.5,3154801.9999999995,Minor_Fault,Minor_fault_004_window_003.csv,1
19.49,25.664565065475006,658.6699000000001,32.226231551330976,82.0,0.0,82.0,5.5,3296314.0000000005,Minor_Fault,Minor_fault_004_window_004.csv,1
14.91,23.000476082029262,529.0219000000002,27.410399486326355,71.0,0.0,71.0,5.5,2647490.0,Minor_Fault,Minor_fault_004_window_005.csv,1
11.58,21.26460909586631,452.1836000000001,24.21321952983535,92.0,0.0,92.0,5.0,2261309.9999999995,Minor_Fault,Minor_fault_004_window_006.csv,1
6.15,15.389850551581066,236.84750000000005,16.5731710906513,92.0,0.0,92.0,5.5,1188378.0,Minor_Fault,Minor_fault_004_window_007.csv,1
7.84,24.21640766092279,586.4344,25.453879861427804,168.0,0.0,168.0,5.0,2933630.0,Minor_Fault,Minor_fault_004_window_008.csv,1
14.75,32.16562606261535,1034.6275,35.386296782794325,168.0,0.0,168.0,5.0,5173138.000000001,Minor_Fault,Minor_fault_004_window_009.csv,1
16.4,30.66724637133239,940.4799999999996,34.777003896253056,121.0,0.0,121.0,5.5,4715200.0,Minor_Fault,Minor_fault_004_window_010.csv,1
17.72,29.838927594670693,890.3616000000001,34.70389027184128,110.0,0.0,110.0,6.5,4476450.000000001,Minor_Fault,Minor_fault_004_window_011.csv,1
19.0,32.395678724175546,1049.48,37.55635765086918,140.0,0.0,140.0,6.0,5276682.0,Minor_Fault,Minor_fault_004_window_012.csv,1
22.93,37.61416089719402,1414.8250999999998,44.0523552151301,144.0,0.0,144.0,5.5,7084929.999999999,Minor_Fault,Minor_fault_004_window_013.csv,1
30.83,42.2343592351062,1783.7411000000002,52.28986517481184,160.0,0.0,160.0,6.0,8923410.000000002,Minor_Fault,Minor_fault_005_window_001.csv,1
26.77,38.73754122295322,1500.5971000000002,47.08747179452301,131.0,0.0,131.0,5.5,7503826.000000001,Minor_Fault,Minor_fault_005_window_002.csv,1
24.26,35.607476742953864,1267.8924000000002,43.08642477625639,117.0,0.0,117.0,5.5,6339661.999999999,Minor_Fault,Minor_fault_005_window_003.csv,1
25.98,38.75512353225054,1501.9596,46.65747528531736,160.0,0.0,160.0,6.0,7512248.0,Minor_Fault,Minor_fault_005_window_004.csv,1
25.05,40.054057222708416,1604.3275000000003,47.24224804134536,160.0,0.0,160.0,5.5,8021650.0,Minor_Fault,Minor_fault_005_window_005.csv,1
25.61,46.00367267947202,2116.3379000000004,52.65178059667118,247.0,0.0,247.0,5.0,10582374.0,Minor_Fault,Minor_fault_005_window_006.csv,1
23.66,45.69206057949236,2087.7644,51.45444587205269,247.0,0.0,247.0,5.5,10448344.000000002,Minor_Fault,Minor_fault_005_window_007.csv,1
16.27,31.90826068591016,1018.1371,35.81689545451978,172.0,0.0,172.0,5.0,5090770.0,Minor_Fault,Minor_fault_005_window_008.csv,1
12.88,24.92720602073164,621.3655999999999,28.058153895080125,86.0,0.0,86.0,5.5,3107406.0,Minor_Fault,Minor_fault_005_window_009.csv,1
13.17,26.331750796329512,693.3611,29.44163718273833,106.0,0.0,106.0,5.5,3467350.0,Minor_Fault,Minor_fault_005_window_010.csv,1
15.46,29.45145836796541,867.3883999999998,33.26259160077579,106.0,0.0,106.0,5.5,4339392.0,Minor_Fault,Minor_fault_005_window_011.csv,1
18.29,32.86587744150459,1080.1659,37.61236498812591,152.0,0.0,152.0,5.5,5401309.999999999,Minor_Fault,Minor_fault_005_window_012.csv,1
20.99,39.16439582069408,1533.8498999999997,44.434558622765685,183.0,0.0,183.0,5.5,7669361.999999998,Minor_Fault,Minor_fault_005_window_013.csv,1
18.9,37.92189341264488,1438.0699999999997,42.37074462409175,183.0,0.0,183.0,5.5,7192942.0,Minor_Fault,Minor_fault_005_window_014.csv,1
7.6,23.1771439137785,537.1799999999998,24.391391924201457,155.0,0.0,155.0,5.5,2692862.0,Minor_Fault,Minor_fault_005_window_015.csv,1
2.7,3.9306488014067096,15.450000000000005,4.768647607026545,16.0,0.0,16.0,3.5,78602.00000000001,Minor_Fault,Minor_fault_006_window_001.csv,1
1.92,3.363569532505609,11.3136,3.872983346207417,12.0,0.0,12.0,4.0,57079.99999999999,Minor_Fault,Minor_fault_006_window_002.csv,1
4.61,21.827457479056047,476.43789999999984,22.30896680709351,179.0,0.0,179.0,0.5,2382194.0,Minor_Fault,Minor_fault_006_window_003.csv,1
17.44,38.47085130329195,1480.0063999999998,42.2393181763153,186.0,0.0,186.0,6.0,7407232.0,Minor_Fault,Minor_fault_006_window_004.csv,1
20.52,36.70980250559788,1347.6096000000002,42.055677381300136,186.0,0.0,186.0,6.0,6742097.999999999,Minor_Fault,Minor_fault_006_window_005.csv,1
20.2,33.7295123000615,1137.68,39.31564574059544,132.0,0.0,132.0,5.5,5691762.0,Minor_Fault,Minor_fault_006_window_006.csv,1
23.88,34.21411404669132,1170.6056000000003,41.72361441677842,132.0,0.0,132.0,5.5,5853606.0,Minor_Fault,Minor_fault_006_window_007.csv,1
21.56,29.25724525651723,855.9863999999999,36.343087375730754,94.0,0.0,94.0,5.5,4280004.0,Minor_Fault,Minor_fault_006_window_008.csv,1
19.6,28.55555987894477,815.4200000000002,34.63495344301764,102.0,0.0,102.0,5.5,4078158.0,Minor_Fault,Minor_fault_006_window_009.csv,1
14.72,24.626847138844223,606.4816,28.69076506473817,102.0,0.0,102.0,6.0,3035608.0,Minor_Fault,Minor_fault_006_window_010.csv,1
13.28,20.679980657631187,427.6616,24.576818345750127,79.0,0.0,79.0,5.5,2145995.9999999995,Minor_Fault,Minor_fault_006_window_011.csv,1
14.6,21.59536987411885,466.3600000000001,26.067604416209782,79.0,0.0,79.0,5.5,2334841.9999999995,Minor_Fault,Minor_fault_006_window_012.csv,1
16.98,25.793789950296173,665.3195999999999,30.88106215789865,92.0,0.0,92.0,5.5,3327245.9999999995,Minor_Fault,Minor_fault_006_window_013.csv,1
5.05,8.513959126047059,72.48749999999998,9.898989847454132,33.0,0.0,33.0,6.0,363842.0,Minor_Fault,Minor_fault_007_window_001.csv,1
6.04,9.467755805891912,89.6384,11.230316113093169,33.0,0.0,33.0,6.0,449992.00000000006,Minor_Fault,Minor_fault_007_window_002.csv,1
6.85,9.958288005475636,99.16749999999996,12.0867696263311,32.0,0.0,32.0,6.0,495949.9999999998,Minor_Fault,Minor_fault_007_window_003.csv,1
