Ax_Mean,Ax_Std,Ax_Variance,Ax_RMS,Ax_Maximum,Ax_Minimum,Ax_Peak_to_Peak,Ay_Mean,Ay_Std,Ay_Variance,Ay_RMS,Ay_Maximum,Ay_Minimum,Ay_Peak_to_Peak,Az_Mean,Az_Std,Az_Variance,Az_RMS,Az_Maximum,Az_Minimum,Az_Peak_to_Peak,Gx_Mean,Gx_Std,Gx_Variance,Gx_RMS,Gx_Maximum,Gx_Minimum,Gx_Peak_to_Peak,Gy_Mean,Gy_Std,Gy_Variance,Gy_RMS,Gy_Maximum,Gy_Minimum,Gy_Peak_to_Peak,Gz_Mean,Gz_Std,Gz_Variance,Gz_RMS,Gz_Maximum,Gz_Minimum,Gz_Peak_to_Peak,AccelMag_Mean,AccelMag_Std,AccelMag_Variance,AccelMag_RMS,AccelMag_Maximum,AccelMag_Minimum,AccelMag_Peak_to_Peak,GyroMag_Mean,GyroMag_Std,GyroMag_Variance,GyroMag_RMS,GyroMag_Maximum,GyroMag_Minimum,GyroMag_Peak_to_Peak
1.8003,3.0269160725068014,9.16222091,3.521832051645848,8.24,-7.53,15.77,0.8253999999999998,10.155458573594792,103.13333884,10.18894616729326,19.61,-19.61,39.22,6.078,4.543914831948328,20.647162,7.588757869374935,17.0,-9.75,26.75,0.5497,3.440906989443336,11.839840909999998,3.484538850407612,4.37,-4.37,8.74,0.1607999999999999,1.814896514956156,3.2938493600000003,1.8220060373116216,4.37,-4.37,8.74,0.2304,2.589838187995536,6.70726184,2.600066537610144,4.37,-4.37,8.74,12.208297274680918,4.976409212777675,24.764648653018515,13.1835947677407,26.53342231978377,1.503795198821967,25.02962712096181,4.2439161051195615,2.052130379071176,4.211239092706809,4.714028319813108,7.569062029075994,0.4597825573029059,7.109279471773088
1.0730000000000002,4.203657811953775,17.670738999999998,4.338440733719892,19.61,-12.07,31.68,-0.9504000000000002,9.104505249600331,82.89201584,9.153975966758926,19.61,-19.61,39.22,7.8584,3.759263417213537,14.13206144,8.711286472157829,19.61,-5.9,25.51,0.1559999999999999,3.259672069395938,10.625461999999995,3.263402825273031,4.37,-4.37,8.74,-0.0096999999999999,0.9822102168069724,0.9647369099999998,0.9822581127178336,4.37,-4.37,8.74,-0.0638999999999999,2.161868587588061,4.67367579,2.1628127519505704,4.37,-4.37,8.74,12.538023262046114,4.615390414730978,21.30182868039059,13.36053352228121,33.17143650793556,4.773698775582725,28.39773773235284,3.560660958859533,1.901073785010332,3.614081536053511,4.036383034351423,7.569062029075994,0.4980963762164909,7.070965652859503
0.1292,2.12049743220783,4.496509359999999,2.1244298058537967,5.0,-6.23,11.23,0.7088000000000001,1.742384733633763,3.03590456,1.8810374796903968,4.8,-3.03,7.83,9.7705,2.6123416219935707,6.824328749999999,10.113703525415405,19.61,1.67,17.939999999999998,-0.0784,0.1821742023448984,0.03318744,0.1983280111330721,0.36,-0.81,1.17,0.0211,0.1206225103370013,0.01454979,0.1224540730233176,0.35,-0.33,0.6799999999999999,-0.0085999999999999,0.0432670775532621,0.00187204,0.0441134900002255,0.13,-0.18,0.31,10.201221520813457,2.5047120559641907,6.273582483292362,10.504213583129392,20.0945415473954,2.5871026264916512,17.507438920903752,0.1917033229091405,0.1397312992339003,0.0195248359855938,0.2372235232855291,0.8229823813423955,0.0223606797749978,0.8006217015673976
0.3789,2.6696815896282464,7.12719979,2.6964356102084097,14.08,-7.57,21.65,2.2833,8.434502600035167,71.14083411,8.738094357467194,18.44,-15.66,34.1,6.7342,2.525505961188767,6.378180359999999,7.19219229442595,11.26,-1.47,12.73,0.5751999999999999,3.2085094607932825,10.29453296,3.2596607185411184,4.37,-4.37,8.74,-0.0375,1.2270626512122351,1.50568275,1.2276355322325925,3.19,-3.12,6.3100000000000005,0.3726,2.6147139881830284,6.836729239999999,2.641128546663339,4.37,-4.37,8.74,11.21504146198119,3.0944358138508523,9.575533006042788,11.634117413882327,19.721838149624897,4.289254014394578,15.43258413523032,3.9486274461614976,1.875200866952692,3.516378291420127,4.371274070565698,6.74817753174885,0.3228002478313794,6.425377283917471
0.5424,0.0771766804157836,0.00595624,0.5478631215915157,0.88,0.22,0.66,-0.0784,0.0649879988921031,0.00422344,0.1018331969448077,0.16,-0.4,0.56,9.8692,0.0567746422269661,0.00322336,9.869363302665477,10.01,9.74,0.2699999999999996,-0.0539999999999999,0.0048989794855663,2.3999999999999974e-05,0.0542217668469038,-0.05,-0.06,0.0099999999999999,0.0314,0.0096974223379205,9.404000000000004e-05,0.0328633534503099,0.06,-0.03,0.09,-0.0096,0.0019595917942265,3.8400000000000005e-06,0.0097979589711327,-0.0,-0.01,0.01,9.884908733712289,0.0586116556546683,0.0034353261785814,9.8850824983912,10.048139131202351,9.750348711712828,0.2977904194895249,0.0639840219427551,0.0046952035130572,2.2044936029025523e-05,0.0641560597293817,0.0787400787401181,0.0547722557505166,0.0239678229896014
0.2249999999999999,5.635182250823837,31.755279,5.639672330907177,18.58,-19.61,38.19,-0.3486000000000001,4.914381959107371,24.15115004,4.926730355925724,18.25,-19.61,37.86,9.1317,4.71251971985264,22.20784211,10.27598107238428,19.61,-19.61,39.22,-0.1420999999999999,0.8476158268932926,0.7184525900000003,0.8594445880916349,4.37,-4.37,8.74,0.0225999999999999,0.690212460044007,0.47639324,0.6905823629372532,3.62,-3.34,6.96,-0.0066999999999999,0.230438950700614,0.05310211,0.2305363311931548,1.15,-1.1,2.25,11.75227547600971,4.853697985658021,23.55838413598073,12.71512339696316,33.96551633642569,7.701454408097213,26.26406192832848,0.5645000120021316,0.9746977667203272,0.9500357364495932,1.1263640619266937,5.780250859608085,0.0244948974278317,5.755755962180253
-0.1688999999999998,5.986845061466013,35.84231379,5.98922707868052,19.61,-19.61,39.22,0.5975,5.163394498776943,26.66064275,5.197850421087548,19.61,-19.61,39.22,9.339,4.319012734410492,18.653871,10.289353332450004,19.61,-19.61,39.22,-0.0574,0.8695316210466414,0.7560852399999999,0.8714241217684993,1.74,-4.37,6.11,0.0043999999999999,0.9170695938695164,0.84101664,0.9170801491690898,2.45,-4.37,6.82,-0.0112999999999999,0.296852337029709,0.0881213099999999,0.2970673324349211,0.86,-1.88,2.74,11.806909619371126,5.418133187731876,29.356167240001582,12.990738316200508,33.96551633642569,2.3720244518132607,31.593491884612423,0.7755831938372293,1.0426580021451155,1.0871357094372436,1.29948643702041,5.470594117643897,0.0223606797749978,5.448233437868899
1.5598,6.002380691025853,36.02857396,6.201737659720862,19.61,-19.61,39.22,-0.0719000000000001,11.016894816144884,121.37197139,11.017129435565328,19.61,-19.61,39.22,6.189800000000002,7.334933398470636,53.80124796,9.59764929553065,19.61,-19.61,39.22,0.3473999999999999,3.42475272684029,11.728931240000003,3.4423274103431822,4.37,-4.37,8.74,-0.0549999999999999,1.2521329801582577,1.567837,1.2533403368598652,3.74,-3.65,7.390000000000001,-0.0389999999999999,2.711628846284093,7.352931000000002,2.7119092905183977,4.37,-4.37,8.74,14.722933671102773,5.932013748830011,35.18878711630828,15.873045170980898,33.96551633642569,5.467083317455479,28.498433018970207,4.126653315531131,1.935371905711128,3.745664413415922,4.557952610547854,7.223669427652404,0.3488552708502481,6.874814156802156
-0.102,1.963407242525096,3.854968000000001,1.966054933108432,4.14,-8.45,12.59,0.2628999999999999,2.147794820274972,4.613022590000001,2.163825085352326,6.97,-8.46,15.43,9.726300000000002,1.9168117565374017,3.67416731,9.913378788284044,16.36,1.63,14.73,-0.0362,0.7238850461226563,0.5240095600000001,0.7247896246498015,1.83,-2.21,4.04,0.0028999999999999,0.5536068912143345,0.3064805899999999,0.5536144868046716,1.16,-1.72,2.88,-0.0177999999999999,0.4925374706557868,0.24259316,0.4928590062076577,1.35,-1.96,3.31,10.185824997315729,1.7525864098691657,3.07155912405809,10.335501439214257,16.508933944988694,7.118974645270202,9.389959299718493,0.8752102614655526,0.5556311710347064,0.3087259982253991,1.0366865485767625,3.4182012813759224,0.0591607978309961,3.359040483544926
1.4650999999999996,3.246430499795121,10.53931099,3.561717142053815,14.12,-6.14,20.26,1.1500999999999997,8.763508600440808,76.79908299,8.838654479048268,19.61,-18.78,38.39,6.9564,3.600199861118824,12.961439040000002,7.832811755685183,14.63,-4.72,19.35,0.2201999999999999,3.460010398828304,11.971671960000002,3.4670102393849374,4.37,-4.37,8.74,0.1477,1.6823797757938008,2.83040171,1.688850792698988,4.37,-3.5,7.87,-0.0760999999999999,1.2867485340966975,1.65572179,1.2889968968155043,3.18,-3.25,6.43,11.447515304576616,4.5951034103145165,21.11497535148409,12.33533874686869,22.26343639243502,2.744631122755843,19.518805269679177,3.7687626061612014,1.5265380500993164,2.330318418401024,4.066188633105946,6.116224325513249,0.3695943722515266,5.746629953261722
