Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy
1.02,1.4140721339450826,1.9996,1.743559577416269,9.0,0.0,9.0,1.0,10096.0
0.89,1.3258582126305962,1.7578999999999996,1.5968719422671311,8.0,0.0,8.0,12.5,8813.999999999998
26.54,39.29183630221424,1543.8484000000008,47.4153983427325,131.0,0.0,131.0,5.5,7733020.0
0.83,1.5169377047196104,2.3011,1.7291616465790582,8.0,0.0,8.0,1.0,11518.0
86.71,254.0209949984449,64526.66589999998,268.41253696502326,955.0,0.0,955.0,5.5,323930989.99999994
66.59,116.75196743524282,13631.0219,134.40703106608672,443.0,0.0,443.0,4.5,68157222.0
31.5,66.89506708270797,4474.95,73.94051663330464,308.0,0.0,308.0,6.0,22375142.0
50.28,86.41945151411227,7468.3216,99.98199837970832,348.0,0.0,348.0,5.0,37344057.99999999
89.83,142.76960846062445,20383.1611,168.6789554153096,556.0,0.0,556.0,6.0,101943418.0
71.58,136.97825958888512,18763.0436,154.55335648247825,543.0,0.0,543.0,6.5,93882196.0
5.97,8.675776622297281,75.26910000000002,10.53138167573467,39.0,0.0,39.0,4.0,377106.0
0.76,1.3792751719653336,1.9024000000000003,1.5748015748023625,8.0,0.0,8.0,16.5,9512.0
0.79,1.051617801294748,1.1059,1.3152946437965904,4.0,0.0,4.0,2.5,5533.999999999999
1.01,1.5198355174162763,2.3099000000000007,1.8248287590894656,8.0,0.0,8.0,6.0,11574.000000000002
1.04,1.678809101714665,2.8184,1.9748417658131496,9.0,0.0,9.0,1.0,14123.999999999998
1.04,1.7258041603843697,2.9784,2.0149441679609885,9.0,0.0,9.0,2.0,15180.0
71.9,116.17138201812013,13495.790000000005,136.6213746088071,393.0,0.0,393.0,5.0,67478968.0
0.97,1.276362017610991,1.6291,1.6031219541881396,4.0,0.0,4.0,18.0,8146.0
55.25,88.81096497617848,7887.3875,104.59421590126291,351.0,0.0,351.0,5.0,39482842.0
0.86,1.3857849761056005,1.9204,1.6309506430300091,9.0,0.0,9.0,17.5,9634.0
54.34,187.8339277127537,35281.58439999999,195.53623705083413,953.0,0.0,953.0,6.0,176439172.0
20.26,31.65015639771785,1001.7324,37.57924959335936,117.0,0.0,117.0,5.5,5011862.0
57.18,95.75169763508111,9168.3876,111.52551277622534,412.0,0.0,412.0,5.0,45932676.0
1.05,1.49248115565993,2.2275,1.8248287590894656,9.0,0.0,9.0,1.0,11138.0
34.57,72.07319265857453,5194.545100000001,79.93516122458252,389.0,0.0,389.0,6.5,25980790.0
15.64,24.86182615979768,618.1104000000001,29.37209560109731,92.0,0.0,92.0,6.0,3091703.999999999
14.82,26.090373703724524,680.7076000000002,30.005666131582547,117.0,0.0,117.0,5.5,3403988.0
22.27,31.963058364305507,1021.6371000000004,38.95625752045491,115.0,0.0,115.0,5.0,5110850.0
