Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.14,0.45,9.86,-0.06,0.03,-0.01
61,0.2,0.34,9.8,-0.06,0.04,-0.0
123,0.35,0.41,9.87,-0.07,0.03,-0.0
185,0.3,0.53,9.85,-0.05,0.03,-0.01
247,0.34,0.6,9.89,-0.05,0.04,-0.01
309,0.28,0.76,9.91,-0.06,0.04,-0.01
370,0.27,0.77,9.83,-0.05,0.04,-0.01
432,0.31,0.71,9.86,-0.05,0.03,-0.01
494,0.1,0.2,9.89,-0.06,0.03,-0.01
556,0.08,0.19,9.73,-0.1,0.05,-0.01
618,0.29,0.41,9.87,-0.13,0.06,-0.0
680,0.47,0.88,10.05,-0.13,0.06,-0.01
742,0.47,1.36,10.08,-0.09,0.05,-0.0
804,0.6,1.39,10.06,-0.04,0.03,-0.01
866,0.55,1.13,9.99,-0.01,0.02,-0.01
928,0.85,0.67,10.12,-0.03,0.02,-0.0
990,0.53,0.77,9.79,-0.01,0.01,-0.01
1051,0.56,0.74,11.85,0.01,0.03,-0.01
1112,0.16,0.97,10.06,-0.12,0.02,-0.01
1174,0.52,1.67,9.61,-0.07,0.04,-0.01
1236,0.78,1.81,10.07,0.0,0.02,-0.01
1296,0.52,1.19,10.37,0.07,-0.01,-0.02
1358,-0.23,0.65,9.75,0.09,-0.01,-0.01
1422,0.08,-0.16,9.65,0.08,-0.01,-0.01
1485,0.04,-0.68,9.53,0.03,-0.0,-0.01
1548,2.35,-1.81,14.95,0.05,0.01,-0.04
1610,-2.04,1.07,11.19,-0.25,0.02,-0.0
1674,-0.98,3.15,9.32,-0.15,0.11,0.02
1736,1.92,2.39,10.22,-0.02,0.03,-0.01
1798,0.72,1.67,9.77,0.04,-0.08,-0.02
1859,-1.97,0.99,9.55,0.09,-0.04,-0.01
1923,0.4,-0.58,10.91,0.07,0.03,0.0
1983,3.71,-1.89,12.22,0.05,0.05,-0.05
2045,1.6,-0.35,10.68,-0.16,-0.04,-0.01
2110,-0.21,1.19,9.29,0.01,0.02,-0.01
2172,-1.88,1.06,6.24,0.22,-0.03,-0.04
2235,-1.54,-0.21,11.33,0.01,0.02,0.02
2297,0.25,-0.89,9.31,-0.06,0.05,0.02
2359,0.49,1.35,13.37,-0.31,-0.22,-0.04
2422,-4.12,1.5,7.58,0.1,0.03,0.0
2483,3.77,-1.47,11.32,0.13,0.28,-0.04
2545,0.3,1.1,3.02,-0.1,-0.53,0.11
2606,-1.71,0.09,4.87,-0.34,-0.01,0.03
2670,-3.01,1.87,10.05,-0.44,0.1,0.0
2732,-1.22,3.51,5.05,-0.12,0.17,-0.01
2795,1.02,2.75,13.25,-0.25,0.09,-0.03
2857,0.15,4.0,11.1,-0.11,0.02,0.01
2917,1.51,-3.53,8.41,0.42,-0.09,0.0
2979,-3.87,0.28,4.36,0.07,-0.17,-0.03
3042,-1.93,0.89,9.53,-0.0,0.1,0.12
3104,3.37,-2.0,7.75,-0.23,-0.0,0.04
3168,-2.12,2.91,2.88,-0.24,-0.17,-0.09
3232,-3.7,1.32,10.19,0.07,-0.12,0.01
3294,-3.52,1.22,9.31,-0.0,0.07,0.02
3356,3.34,-2.98,14.87,-0.04,0.06,-0.01
3419,-1.77,0.57,8.41,-0.09,-0.03,-0.03
3484,-1.52,0.16,9.58,-0.04,0.04,-0.01
3547,-0.28,-0.1,10.63,-0.39,0.1,0.08
3610,-0.38,0.51,8.23,-0.04,0.1,0.0
3672,0.31,-0.12,10.14,-0.14,0.08,-0.01
3735,-1.03,2.92,6.69,-0.34,0.12,-0.03
3798,-1.55,2.86,9.92,0.05,0.12,-0.03
3860,2.32,1.98,11.4,-0.18,0.14,0.01
3921,2.25,2.19,10.95,-0.01,0.01,0.0
3982,-0.61,0.24,12.4,-0.12,0.02,0.02
4044,1.25,-0.1,8.91,0.02,0.09,0.03
4104,1.07,-0.59,8.98,-0.01,0.01,-0.03
4167,-1.7,0.63,4.46,0.12,-0.02,0.02
4229,-0.51,-0.08,13.19,-0.11,0.17,-0.02
4294,-1.11,2.81,8.86,-0.14,0.08,0.01
4356,0.69,2.18,10.13,-0.03,0.02,-0.01
4418,1.39,0.32,12.44,-0.05,0.02,0.0
4478,1.34,0.25,10.66,0.03,-0.01,0.0
4539,-0.48,0.43,9.44,0.05,-0.01,-0.01
4602,-3.44,1.18,5.02,-0.21,-0.01,0.12
4665,0.14,-0.81,8.45,0.1,0.18,0.02
4726,2.55,-2.37,9.91,-0.23,0.06,-0.04
4789,0.63,0.66,14.88,0.03,0.03,-0.05
4850,0.34,1.83,11.52,-0.28,0.2,-0.03
4912,2.53,2.53,11.15,-0.22,0.12,0.01
4972,1.63,2.9,10.51,0.02,-0.03,-0.01
5034,-2.72,3.59,7.47,0.09,-0.07,0.05
5096,0.4,0.16,8.46,0.16,0.12,0.02
5155,1.73,-1.22,9.3,-0.06,0.01,-0.03
5218,-1.68,1.88,5.34,-0.33,0.12,0.05
5280,2.1,0.35,8.71,-0.18,0.1,-0.03
5342,0.86,1.84,11.0,-0.16,0.05,-0.03
5404,0.73,2.58,10.67,-0.09,0.06,0.01
5465,-0.61,1.64,5.32,0.3,-0.11,-0.07
5528,-1.59,0.2,11.18,0.1,-0.04,-0.02
5591,-0.39,-0.32,9.14,0.01,0.04,0.01
5653,1.76,-1.87,9.6,-0.18,-0.06,-0.02
5718,-2.8,1.07,8.38,-0.06,-0.06,-0.04
5782,-1.32,0.39,10.07,-0.15,0.06,0.01
5844,1.73,1.43,9.89,0.1,0.04,-0.05
5905,-1.93,2.09,9.34,-0.0,-0.06,-0.04
5969,-1.42,2.62,10.26,-0.12,0.06,0.02
6031,0.18,-0.29,5.49,-0.03,0.01,0.04
6093,-0.57,3.0,11.02,-0.25,0.0,0.1
6155,2.11,1.63,8.26,0.18,0.07,-0.01
6216,1.14,0.04,9.24,0.16,-0.03,-0.03
6278,-0.51,-0.45,11.43,0.29,0.02,-0.05
6341,3.19,-2.76,11.29,-0.16,0.12,-0.01
6404,0.96,-1.18,8.83,-0.19,0.0,-0.03
6468,-1.59,-1.69,8.54,-0.73,0.03,0.0
6531,-0.01,1.24,6.76,-0.29,0.09,-0.03
6594,0.52,0.99,10.32,-0.27,0.1,-0.02
6656,2.08,1.81,14.12,-0.13,0.12,-0.02
6718,3.55,1.58,12.92,-0.3,0.05,0.06
6779,2.51,1.88,9.88,0.12,-0.11,0.03
6839,-1.33,1.24,9.3,0.22,-0.11,-0.02
6903,-2.95,1.66,5.02,0.16,-0.06,0.1
6964,0.83,-2.85,8.4,0.15,0.1,0.02
7025,0.72,-2.4,9.42,-0.22,0.0,-0.06
7088,0.27,-0.62,19.61,0.08,0.12,-0.06
7150,-0.63,0.79,12.35,-0.55,0.24,0.03
7212,2.32,4.0,10.57,-0.29,0.21,-0.0
7274,3.54,4.04,14.56,0.08,0.06,-0.02
7335,1.57,1.85,12.18,0.06,-0.03,0.08
7395,2.47,-0.4,9.84,0.29,-0.13,0.01
7457,-1.66,-0.94,9.02,0.25,-0.1,0.0
7520,0.39,-0.61,7.11,0.04,-0.03,0.04
7582,-0.73,-1.06,8.24,0.01,-0.06,-0.04
7647,-1.76,-0.52,6.61,-0.19,-0.03,0.01
7711,-1.69,0.73,9.25,-0.06,0.1,-0.03
7774,1.53,0.04,10.58,-0.2,0.12,0.01
7835,0.86,1.63,10.44,-0.08,0.01,-0.02
7897,2.76,2.22,10.49,0.49,0.02,-0.09
7958,3.03,-0.74,11.81,0.3,-0.14,-0.09
8021,-2.76,-0.35,9.75,0.18,-0.1,-0.0
8085,-2.12,0.94,3.75,0.39,0.05,-0.04
8147,2.45,-0.61,13.29,-0.08,-0.04,-0.16
8212,-4.87,0.39,11.44,-0.47,-0.05,0.02
8275,-0.47,-2.24,15.94,-0.45,0.25,0.04
8338,5.57,-1.32,16.1,-0.79,0.11,-0.04
8401,-3.15,3.56,8.88,-0.47,-0.04,-0.06
8466,-2.93,1.72,14.29,-0.16,0.22,0.13
8528,5.79,-0.52,10.97,-0.01,0.08,-0.09
8591,2.94,1.52,16.7,-0.03,-0.13,-0.1
8654,-4.37,1.77,8.9,0.07,-0.05,-0.04
8718,-1.91,0.22,10.05,-0.02,0.04,-0.0
8781,-0.22,0.36,9.84,-0.13,0.01,-0.01
8844,1.88,-1.8,13.64,-0.1,0.03,-0.01
8907,-0.09,1.43,9.24,-0.15,0.0,-0.02
8971,-0.11,1.14,10.04,-0.1,0.05,-0.01
9034,-0.58,3.15,5.16,-0.25,0.08,-0.01
9097,-0.86,2.26,11.89,-0.02,0.03,-0.04
9160,0.06,2.58,10.48,-0.07,0.06,0.01
9221,1.29,1.8,9.98,0.04,-0.03,-0.01
9283,2.38,0.19,19.61,0.22,-0.12,0.01
9343,-0.98,0.38,11.05,-0.07,-0.04,0.0
9407,-0.81,1.06,8.87,-0.03,0.01,-0.01
9470,0.91,0.1,10.05,-0.03,0.03,-0.01
9532,-1.68,-1.47,2.83,-0.3,-0.1,-0.04
9598,-0.39,-0.03,9.06,0.11,-0.12,-0.08
9663,-0.81,0.44,9.83,-0.03,-0.02,-0.01
9727,0.85,-0.1,10.04,0.01,0.06,0.0
9788,2.01,-1.02,10.57,0.03,0.04,-0.01
9850,0.64,-0.28,10.51,-0.09,0.03,-0.01
9913,-0.57,0.8,9.38,-0.05,0.04,-0.0
9976,1.64,0.9,6.51,-0.14,0.01,0.02
10037,-1.26,1.17,8.2,0.0,-0.06,-0.04
10100,-0.42,0.12,10.24,-0.03,0.06,0.0
10162,3.52,-2.49,13.09,-0.46,0.04,0.03
10224,-2.19,2.56,8.19,-0.33,-0.08,-0.01
10289,-3.34,2.89,10.68,-0.12,0.13,-0.0
10352,1.57,1.72,11.05,-0.18,0.17,0.01
10412,2.7,6.39,12.92,0.32,-0.2,-0.02
10474,-2.78,2.47,11.71,0.33,-0.31,-0.02
10538,-4.22,1.05,8.7,0.25,-0.03,0.05
10599,1.49,-1.62,9.88,0.15,0.12,0.02
10660,1.52,-2.19,9.6,-0.09,-0.03,-0.03
10725,-0.93,-0.89,9.33,-0.14,0.03,-0.02
10789,-0.22,-1.07,11.41,-0.12,0.12,-0.01
10854,-0.71,1.4,8.41,-0.01,0.13,0.03
10916,1.58,0.92,10.3,-0.1,0.09,0.0
10976,0.24,1.46,10.06,-0.03,0.01,-0.01
11038,0.6,1.02,10.76,-0.12,-0.02,0.02
11100,-0.14,0.81,9.67,0.02,-0.01,-0.02
11164,0.24,0.16,9.96,0.02,0.01,-0.01
11224,-1.31,2.12,4.11,-0.15,0.05,-0.03
11287,-1.78,0.45,11.27,-0.11,0.02,-0.01
11351,-0.66,1.18,9.78,-0.09,0.07,0.01
11412,1.15,0.65,9.91,-0.08,0.04,-0.01
11474,-2.33,1.45,11.9,-0.54,0.05,0.13
11536,3.17,-0.93,9.12,-0.05,0.19,0.02
11598,5.27,-0.65,16.73,-0.28,0.05,-0.11
11661,-4.35,1.43,10.12,-0.26,0.04,-0.06
11725,-1.13,2.02,9.39,-0.35,0.09,0.03
11786,-0.3,1.86,10.02,-0.04,-0.01,-0.02
11851,0.19,1.28,10.0,0.0,-0.01,-0.01
11913,0.65,0.74,10.21,0.02,0.01,-0.01
11974,1.15,0.26,10.11,-0.03,0.04,0.0
12034,0.63,0.13,9.81,-0.0,0.01,-0.01
12096,-0.34,0.25,9.75,-0.03,0.02,-0.01
12159,-0.32,0.21,9.96,-0.07,0.03,-0.01
12222,-0.23,0.21,9.76,-0.12,0.04,-0.0
12286,0.54,0.23,9.92,-0.13,0.06,-0.0
12347,-2.17,2.54,0.48,-0.36,0.09,0.06
12409,2.48,0.48,10.51,-0.16,0.02,-0.06
12471,-1.22,2.73,10.15,-0.23,-0.02,-0.03
12536,0.27,2.37,10.12,-0.16,0.05,-0.01
12598,2.38,2.26,8.49,0.02,-0.0,-0.02
12660,0.63,1.13,10.05,0.08,-0.1,-0.03
12722,-0.74,0.81,9.87,0.08,-0.02,-0.0
12785,1.24,-0.23,11.51,0.35,-0.0,-0.06
12848,3.14,-1.3,9.81,-0.12,0.05,-0.01
12911,0.62,-0.52,9.82,-0.14,0.0,-0.02
12975,-0.48,0.33,9.76,-0.15,0.07,-0.01
13038,2.43,1.21,8.59,-0.02,0.08,-0.03
13100,1.27,0.68,10.01,-0.03,-0.05,-0.03
13163,-0.92,1.17,9.8,-0.01,-0.02,-0.01
13227,-1.94,3.06,5.37,0.09,0.01,0.01
13288,0.86,-0.77,9.93,-0.03,0.09,0.01
13350,0.34,-0.35,9.6,-0.09,0.05,-0.01
13413,-0.66,0.29,9.67,-0.13,0.04,-0.01
13476,0.13,-0.41,11.32,-0.28,0.1,0.01
13538,1.11,0.51,9.91,-0.15,0.09,0.0
13599,0.55,1.21,9.97,-0.11,0.04,-0.01
13661,-1.14,2.7,6.07,-0.29,0.01,-0.01
13724,-0.08,3.3,9.15,0.25,0.13,0.02
13785,3.01,1.0,10.38,0.08,0.05,0.01
13844,1.2,0.52,9.87,0.17,-0.07,-0.03
13906,-1.87,0.6,7.07,0.32,-0.03,-0.02
13969,-1.64,-0.59,9.56,0.06,0.07,0.03
14031,1.34,-1.94,9.46,-0.03,0.07,-0.0
14094,-0.99,0.34,5.55,-0.04,0.06,0.01
14156,0.62,-0.89,10.12,-0.24,0.05,-0.02
14219,-0.33,0.36,9.72,-0.23,0.07,-0.01
14282,0.95,-3.0,9.44,0.11,0.06,-0.03
14344,-0.11,2.59,10.35,-0.22,0.04,-0.01
14408,-0.12,2.85,10.05,-0.18,0.09,-0.0
14471,1.64,2.3,10.33,-0.14,0.08,-0.0
14533,-0.57,2.94,4.98,0.17,-0.04,-0.09
14596,-2.42,1.29,10.08,0.04,0.01,0.01
14657,2.0,-1.21,9.66,0.04,0.08,0.02
14717,-0.84,0.68,5.65,-0.24,-0.02,-0.0
14782,-2.76,1.28,8.86,0.12,0.19,0.04
14842,5.31,0.64,8.73,-0.04,0.12,-0.07
14904,0.8,4.76,16.43,0.05,-0.15,-0.06
14966,-4.46,3.75,10.27,0.12,0.01,0.02
15027,0.79,0.11,9.95,0.12,0.14,0.05
15086,1.6,-0.63,9.62,0.02,0.07,-0.0
15148,0.52,-0.2,11.39,0.11,0.05,-0.03
15210,-1.36,1.14,9.98,-0.13,0.04,-0.01
15273,-0.42,1.07,9.73,-0.09,0.05,-0.0
15336,0.62,0.57,7.58,-0.21,0.03,0.02
15397,-1.73,2.75,8.63,0.07,0.04,-0.0
