Time_ms,Ax,Ay,Az,Gx,Gy,Gz
6710,-0.14,-0.38,9.67,-0.01,0.02,-0.02
6775,-0.75,-0.09,9.53,-0.0,0.03,-0.01
6839,-0.46,-0.32,9.81,-0.05,0.03,-0.01
6904,0.49,-0.49,9.78,-0.05,0.03,-0.01
6967,0.72,-1.29,10.47,-0.07,0.06,-0.01
7031,-0.02,-0.78,9.63,-0.12,0.06,-0.0
7095,0.29,-0.7,9.81,-0.11,0.05,-0.01
7158,1.23,-2.06,11.78,-0.18,0.1,0.01
7220,1.34,-0.28,10.03,-0.24,0.09,0.0
7282,0.45,1.17,10.22,-0.2,0.07,-0.02
7344,0.76,1.87,12.06,-0.09,0.06,0.0
7405,2.24,0.74,10.28,0.05,0.01,0.01
7464,0.79,-0.49,9.61,0.16,-0.1,-0.0
7528,-1.09,-0.99,9.31,0.13,-0.03,0.01
7591,-0.91,-1.33,8.53,0.11,0.07,-0.05
7654,0.02,-2.55,9.24,-0.15,0.1,-0.01
7717,0.11,-2.17,9.36,-0.23,0.11,-0.04
7781,-0.32,-1.14,10.2,-0.25,0.13,-0.0
7845,1.19,-0.24,9.67,-0.41,0.16,0.02
7907,1.4,2.91,10.85,-0.3,0.08,-0.02
7969,1.12,3.79,11.27,-0.07,0.03,-0.02
8031,1.98,0.86,10.51,0.29,-0.12,-0.01
8093,-1.98,-0.85,9.62,0.23,-0.19,-0.03
8158,-2.66,-1.42,9.05,0.2,-0.02,0.03
8221,0.86,-5.14,11.48,-0.2,0.2,0.06
8283,3.33,-3.08,9.09,-0.46,0.13,-0.14
8346,-1.67,1.55,10.13,-0.6,0.06,-0.0
8409,-0.71,6.44,7.84,-0.35,0.16,0.02
8471,3.07,4.94,10.76,0.32,0.05,0.14
8531,1.97,-1.18,19.61,0.37,-0.58,-0.13
8594,-3.21,-1.89,7.04,0.2,-0.21,-0.0
8658,-2.34,-2.1,8.53,-0.2,0.08,-0.05
8723,0.33,-2.35,9.17,-0.31,0.03,-0.1
8786,-3.23,0.56,9.72,-0.44,0.07,0.0
8848,1.58,0.61,10.35,-0.3,0.24,0.02
8909,2.69,0.7,10.47,-0.11,0.01,-0.06
8971,-2.88,1.41,10.13,0.01,-0.03,0.02
9033,1.07,-1.14,9.79,0.0,0.13,0.04
9093,2.68,-2.14,9.33,-0.24,-0.01,-0.01
9158,-0.76,0.44,9.68,-0.15,-0.03,-0.05
9222,-1.62,1.22,10.19,-0.12,0.05,0.0
9284,0.71,0.67,10.52,-0.06,0.05,0.01
9345,2.32,-0.08,10.73,0.02,-0.0,0.01
9407,1.03,-0.33,10.01,0.06,-0.05,-0.02
9470,-0.61,-0.12,9.73,0.06,-0.01,-0.0
9534,0.23,-0.91,9.68,0.1,0.06,0.02
9595,1.94,-1.52,9.77,-0.09,0.01,-0.05
9658,-0.78,-0.25,9.72,-0.13,0.01,-0.03
9723,-0.3,-0.3,10.79,-0.12,0.07,-0.01
9788,3.01,-1.18,10.27,-0.07,0.09,0.04
9850,2.86,-1.08,10.11,-0.04,-0.1,-0.04
9914,-3.89,1.59,10.06,-0.05,-0.11,-0.04
9979,-1.13,0.38,9.39,-0.0,-0.04,-0.02
10044,0.9,-0.73,9.74,-0.01,-0.03,-0.03
10108,0.25,-0.68,9.63,-0.01,0.02,-0.01
10171,-0.91,-0.27,9.97,-0.01,0.03,-0.05
10236,-1.54,-0.65,9.88,-0.12,0.06,0.0
10299,0.68,-0.91,9.67,-0.13,0.08,-0.0
10362,1.7,-1.38,11.08,-0.1,0.03,-0.03
10426,-2.07,1.14,9.92,-0.15,0.0,-0.03
10489,-1.14,1.45,10.05,-0.11,0.11,0.03
10551,1.47,0.87,10.36,-0.07,0.07,-0.0
10613,1.78,0.52,8.39,0.02,-0.07,0.05
10674,-4.01,0.88,9.72,0.07,-0.04,0.01
10735,1.72,-1.78,9.69,0.08,0.14,0.04
10796,3.61,-3.72,13.27,0.02,-0.0,-0.07
10859,-3.4,0.53,9.32,-0.13,-0.06,-0.04
10924,-2.15,0.74,9.97,-0.12,0.15,0.04
10985,1.89,-0.46,10.59,-0.12,0.14,0.0
11047,1.53,-0.07,10.34,-0.1,0.09,0.0
11109,0.58,0.25,9.95,-0.05,0.05,-0.01
11171,-0.23,0.24,9.95,-0.06,0.03,-0.01
11234,-2.59,1.3,7.04,0.14,-0.06,-0.04
11298,-1.03,-0.13,9.59,-0.05,0.09,0.02
11361,1.33,-1.1,9.73,-0.06,0.06,-0.01
11424,-0.24,0.3,7.72,-0.11,0.01,-0.02
11487,-2.02,0.3,10.3,-0.09,0.05,0.0
11549,0.61,0.04,9.87,-0.12,0.1,0.03
11610,1.27,0.33,10.11,-0.09,0.03,-0.02
11672,-3.17,2.78,7.78,0.02,0.01,-0.01
11734,1.81,0.02,10.02,-0.06,0.12,0.03
11794,2.43,-0.83,10.04,-0.06,0.0,-0.02
11858,-0.35,0.16,10.01,-0.04,0.0,-0.02
