Time_ms,Ax,Ay,Az,Gx,Gy,Gz
6747,1.92,8.99,-4.72,-4.37,3.43,1.44
6809,-1.95,-18.78,4.95,-1.72,-0.83,-1.69
6875,1.79,-1.57,9.43,3.37,1.07,0.5
6935,0.32,1.47,6.85,4.37,0.26,1.43
6995,0.46,8.46,11.06,-0.37,0.47,-0.3
7057,-0.91,12.56,7.61,-4.37,0.09,-1.58
7120,-0.57,-12.87,5.25,-4.37,-1.02,-0.75
7186,1.41,-5.18,11.38,-0.23,-1.07,0.0
7250,1.59,-7.61,8.91,4.37,-0.11,1.28
7312,4.35,-2.44,4.49,4.37,1.26,0.79
7373,-2.58,19.07,3.34,4.37,-0.38,2.42
7435,2.95,17.6,9.92,-3.72,0.96,-1.33
7497,1.06,12.91,-4.24,-4.37,1.12,-3.25
7560,-1.51,-12.32,5.09,-3.85,-0.55,-1.78
7626,-1.06,-1.88,8.53,0.08,-0.33,-0.19
7691,-1.09,-8.55,4.58,4.37,0.64,1.18
7753,-1.18,3.76,1.42,4.37,-1.96,3.18
7815,2.57,11.21,9.01,2.38,-2.69,0.94
7876,7.47,16.31,10.72,-4.37,0.18,-1.04
7938,1.63,-6.96,2.05,-4.37,1.89,1.68
8000,-2.34,-10.95,6.07,2.0,-0.81,-1.02
8065,-0.69,-5.1,5.56,4.37,0.2,0.42
8127,0.36,10.27,10.15,4.37,-0.83,-0.02
8189,3.77,10.9,10.36,-2.65,0.47,-0.2
8251,-1.34,9.51,6.02,-4.37,-0.27,-0.02
8316,1.07,-9.91,6.47,-4.37,0.92,0.82
8378,4.33,-4.24,11.18,2.78,0.06,-0.42
8440,0.73,-7.73,3.39,4.37,0.46,-0.5
8502,-1.14,14.64,7.23,4.13,0.1,-0.36
8564,3.11,13.18,11.27,-3.3,0.14,0.19
8625,-0.33,0.24,4.64,-4.37,-0.2,0.47
8688,-0.77,-6.71,5.63,-3.97,0.44,0.41
8751,2.94,-7.69,8.94,-0.84,-1.27,-0.64
8816,3.79,-12.73,10.72,4.08,1.32,1.48
8876,-3.76,0.47,1.14,4.37,-0.96,-1.22
8940,4.35,10.52,12.08,4.37,-3.5,-0.63
9002,0.52,3.78,8.44,-4.37,0.25,1.52
9062,2.66,0.57,9.03,-0.56,-0.16,0.37
9124,3.26,4.52,9.24,0.36,0.04,0.18
9184,3.8,2.33,10.04,0.22,0.21,0.21
9243,2.05,1.91,8.53,-0.41,0.12,-0.13
9305,0.87,3.93,7.53,-4.33,-0.87,1.88
9367,6.16,-6.05,11.33,-1.46,0.21,0.37
9429,3.61,-5.66,10.28,3.84,1.14,-2.46
9491,2.13,2.85,5.89,4.37,-0.42,-2.55
9553,2.02,8.71,7.58,1.06,0.44,-0.19
9614,3.24,14.09,9.04,-4.37,-0.59,1.95
9676,4.16,-10.01,6.65,-4.37,-1.51,2.76
9739,-2.26,2.59,3.45,-1.45,0.57,0.45
9801,3.84,-4.65,10.0,3.02,0.1,-0.82
9863,-0.49,-2.44,4.04,4.37,3.21,-1.72
9927,0.59,12.5,7.04,4.37,0.29,1.09
9986,1.74,14.54,7.64,-4.37,0.87,-0.09
10048,-0.09,-7.06,3.43,-4.37,-2.12,1.39
10113,0.62,-0.24,7.35,-4.37,1.16,0.12
10175,2.83,-13.56,7.96,-1.23,1.09,-0.45
10238,-0.21,-6.5,1.97,4.37,2.23,-0.14
10301,-0.95,2.7,8.31,4.37,0.14,1.53
10362,-0.66,6.76,6.02,4.37,-2.49,0.56
10424,3.03,18.72,10.84,-3.03,0.6,-0.72
10486,-0.15,-1.94,-3.13,-4.37,0.72,-2.52
10552,-0.29,-5.05,6.34,-1.07,0.58,0.51
10615,1.4,-9.12,7.56,4.37,0.42,0.64
10676,-1.23,3.51,0.76,4.37,-0.51,1.85
10738,6.22,19.61,8.51,2.35,-2.74,2.14
10799,9.1,8.9,6.84,-4.37,3.85,-1.53
10861,-1.81,-1.5,2.57,-4.37,-0.16,-1.55
10927,2.74,-9.79,10.0,-2.03,-0.72,1.24
10990,1.15,-7.81,7.88,-1.15,-1.3,-0.1
11055,1.55,-6.31,9.48,1.98,-0.62,0.53
11117,-0.62,-5.39,6.51,4.37,-1.6,-1.78
11182,0.51,-1.23,2.4,4.37,-3.01,-2.33
11245,9.61,10.13,9.22,4.37,1.03,-0.58
11306,5.12,6.15,6.95,-1.08,0.78,-0.41
11368,8.89,12.17,8.09,-4.37,4.13,1.12
11428,-4.39,-1.77,-0.85,-4.37,0.7,-0.12
11494,3.98,-12.13,9.77,-0.55,-1.07,1.01
11558,2.02,-2.01,9.88,1.85,-1.59,-1.37
11621,2.38,-0.27,6.18,3.48,-2.96,-1.39
11684,4.91,-0.58,9.44,0.85,-2.12,-2.12
11747,14.12,3.54,14.63,1.61,1.52,-0.07
11808,5.04,3.02,2.33,0.99,4.37,-0.61
11869,1.66,4.78,8.21,-0.27,2.79,0.09
11929,2.11,5.74,10.51,-2.2,0.82,1.5
11990,-4.73,-0.45,2.17,-4.37,4.17,-0.6
12055,-0.56,-8.44,4.84,-3.49,-1.76,-2.36
12121,1.7,-9.56,10.2,0.47,-0.63,-1.43
12184,0.31,10.67,5.48,4.37,1.19,0.24
12243,-3.78,-0.72,8.73,2.04,-0.65,-1.13
12308,5.14,5.96,12.62,3.33,3.05,0.85
12367,-1.4,2.6,11.86,0.29,2.54,1.0
12428,-1.25,2.32,7.02,-0.21,4.37,0.21
12490,-4.59,1.97,4.61,0.12,3.81,-0.59
12552,-7.24,3.95,7.74,-2.27,-0.92,-0.43
12617,-3.46,-3.45,3.73,-4.37,-4.37,-3.97
12683,-0.15,-3.84,8.14,1.51,-4.37,-0.99
12747,4.87,-2.02,12.94,1.78,-2.27,0.53
12810,2.73,-2.29,11.34,0.85,-0.74,-0.63
12873,2.54,-1.25,9.33,2.34,-0.01,-1.39
12936,6.75,0.77,12.6,2.64,1.16,-1.7
12997,5.58,-0.41,11.21,0.56,4.37,1.92
13058,-2.98,8.29,6.35,0.32,4.37,3.34
13119,-8.77,10.13,5.62,-1.74,2.77,-0.05
13182,-6.09,6.83,8.49,-2.67,0.17,-3.05
13245,-5.35,-0.72,2.26,-3.97,-2.94,-4.37
13311,-0.35,-8.94,10.05,-0.74,-2.5,0.47
13376,1.59,-0.29,11.6,-1.42,-2.63,-2.14
13441,-1.32,-4.26,10.38,1.84,0.86,-1.0
13504,3.54,-8.98,8.87,4.37,4.37,3.55
13565,-1.4,6.32,5.86,3.04,3.02,3.83
13625,-3.03,2.17,6.35,-1.7,1.04,-1.19
13689,-2.35,-5.05,9.45,-4.26,-2.7,-2.99
13754,-1.24,-4.73,10.92,-0.24,-2.23,-1.82
13821,-0.39,-5.33,12.97,3.07,0.69,0.6
13883,1.78,1.69,8.96,3.87,4.37,3.99
13942,-5.15,7.64,3.21,-0.45,3.94,0.05
14004,-10.69,9.47,3.02,-0.76,0.31,-1.6
14067,-3.53,-0.91,8.16,-4.34,-4.37,-3.28
14133,-1.67,-6.08,8.1,-0.77,-3.46,-3.7
14199,3.78,-6.44,14.29,1.63,-3.48,-0.05
14263,3.4,-2.32,9.55,4.37,2.06,2.22
14323,-2.24,3.94,5.52,0.46,0.47,-0.12
14385,1.47,-6.28,0.52,-4.37,-4.37,-2.11
14450,4.75,1.38,15.03,-1.47,-0.49,-0.23
14513,3.86,-2.72,12.16,0.93,1.14,-0.8
14575,4.3,-0.16,8.55,1.57,3.7,-0.62
14637,1.65,-3.63,7.54,0.04,4.37,3.13
14698,-4.27,7.08,4.78,0.72,-0.22,1.0
14760,-1.27,4.04,7.56,-3.09,-2.87,-0.84
14825,1.4,-0.74,12.88,-0.93,-1.6,-0.32
14890,4.0,-5.8,12.37,1.85,3.38,-0.12
14952,-1.94,2.49,6.7,0.1,0.61,0.76
15012,0.26,0.77,10.55,-0.35,0.08,0.41
15073,-1.76,-1.29,8.33,-0.95,-0.01,0.46
