Time_ms,Ax,Ay,Az,Gx,Gy,Gz
6737,0.2,5.48,9.65,0.06,-0.17,-1.36
6799,-0.22,2.52,9.59,-1.72,0.15,0.63
6861,5.47,-2.07,10.98,3.3,0.08,0.71
6922,4.58,10.23,6.92,-0.91,1.08,-0.3
6984,1.92,-1.8,11.95,-3.09,0.35,0.78
7046,0.05,-2.63,11.51,1.73,-0.09,-0.82
7109,0.49,3.92,8.35,0.78,-0.11,-1.55
7171,-0.74,3.46,9.17,-1.52,0.13,0.03
7233,-0.89,-4.84,9.85,-0.94,0.04,1.03
7297,-0.39,2.22,12.3,2.15,-0.14,-1.11
7360,-0.74,2.64,10.62,-0.95,-0.04,0.01
7423,-1.01,-0.56,10.76,-1.58,0.1,1.1
7487,-9.68,-19.61,0.79,1.61,0.09,-0.13
7550,1.06,5.9,10.76,-0.9,-0.08,-0.61
7614,0.66,-4.44,9.43,-1.01,0.09,0.66
7676,0.22,1.34,10.18,0.76,0.06,-0.03
7736,-0.32,1.07,9.86,0.75,-0.03,-0.45
7800,-0.33,1.51,9.35,-1.51,0.06,0.06
7862,0.61,-3.83,11.3,0.84,-0.16,0.0
7924,0.12,2.08,9.6,0.8,0.02,-0.34
7984,-0.84,3.05,9.62,-1.29,0.05,0.06
8046,-0.51,-2.74,9.62,-0.27,0.08,0.87
8110,-0.56,0.09,9.94,0.39,-0.01,-0.04
8173,-1.64,2.7,9.05,0.33,0.06,-0.8
8235,0.19,0.51,9.93,-0.81,0.11,0.07
8295,0.08,-1.32,9.84,0.14,-0.02,0.35
8358,-0.16,2.36,10.3,1.51,0.07,-0.54
8420,-0.83,3.09,9.22,-1.76,0.04,0.09
8482,-0.26,-3.28,9.5,-0.23,-0.09,1.2
8546,-1.74,-1.89,5.6,1.15,0.13,-0.83
8610,0.92,8.88,9.91,-1.38,0.24,0.37
8670,-0.49,-5.05,9.55,-0.64,0.18,0.48
8733,-2.1,0.73,10.78,1.88,-0.25,-0.04
8797,3.38,4.82,9.49,-0.89,0.23,-1.08
8859,-0.58,-3.82,9.16,-0.85,0.08,0.62
8922,-0.26,-0.95,9.79,0.58,-0.03,-0.07
8987,0.4,4.57,10.24,1.12,-0.14,-1.06
9049,0.65,1.65,10.5,-1.83,0.14,1.18
9110,0.8,-4.68,9.7,-0.36,0.02,0.64
9172,-2.85,-2.91,8.06,1.71,-0.25,-0.31
9236,-0.02,2.54,10.28,-0.8,0.06,-0.08
9300,-0.95,-3.0,9.22,-0.84,0.14,0.95
9363,0.12,2.24,9.71,1.88,0.05,-0.58
9424,0.02,2.71,9.56,-0.77,0.0,-0.47
9486,-0.67,-2.81,9.49,-1.21,0.06,1.13
9549,-2.56,-7.37,5.02,2.06,-0.09,-0.51
9613,0.52,6.3,9.11,0.01,-0.06,-1.71
9675,-0.16,-2.15,11.55,-2.49,0.03,1.23
9739,0.81,-8.22,10.72,1.61,-0.05,-0.09
9802,0.35,6.08,9.33,0.88,-0.12,-1.58
9864,1.8,0.57,9.76,-2.76,0.16,0.85
9925,-5.06,-12.0,7.64,0.76,-0.28,0.32
9988,0.87,5.98,9.5,1.14,0.11,-1.27
10049,0.05,3.83,9.56,-1.21,0.19,0.33
10109,-1.03,-3.0,9.62,-0.81,0.06,1.05
10173,2.97,-2.26,13.8,1.98,-0.2,-0.27
10236,0.8,3.98,9.51,-0.42,0.02,-1.13
10298,-0.35,-0.32,10.45,-1.45,0.08,0.7
10361,1.15,-0.65,11.06,1.19,-0.13,-0.39
10425,-0.2,2.84,9.67,-0.7,0.01,-0.63
10488,-0.63,-2.6,9.83,-0.68,0.09,0.5
10551,-0.13,-0.22,10.06,0.41,-0.01,-0.05
10616,-2.33,3.33,10.34,0.02,0.0,-0.89
10678,-0.3,-0.6,10.15,-1.06,0.06,0.48
10742,-0.89,-0.51,9.77,-0.06,0.04,0.45
10805,-0.01,3.36,9.9,1.55,0.1,-0.89
10867,-1.58,1.54,12.15,-2.54,-0.07,0.66
10931,-3.16,-7.82,8.09,0.54,-0.12,0.05
10994,1.42,6.4,7.91,1.64,0.15,-1.24
11054,-0.36,3.9,10.79,-2.69,0.16,0.53
11116,-0.45,-4.21,9.28,-0.56,-0.12,1.28
11181,1.2,-3.46,9.46,2.85,0.13,-1.13
11243,-0.88,12.5,7.94,-1.1,-0.2,0.99
11306,-0.84,-3.67,8.81,-2.02,0.71,0.81
11370,1.46,-7.45,7.2,2.48,-0.05,-0.45
11433,2.17,8.0,9.95,0.39,-0.1,-1.8
11495,-1.47,-3.8,8.73,-2.52,0.03,1.02
11558,-1.71,-6.29,8.15,1.71,-0.06,-0.27
11623,0.3,6.65,8.68,1.76,-0.02,-1.91
11685,2.1,0.51,11.33,-3.28,0.05,1.01
11746,-3.45,-10.38,8.08,0.03,-0.02,0.12
11809,0.12,4.33,11.97,2.28,-0.2,-0.71
11871,-0.4,8.15,9.02,-1.88,0.34,1.16
11933,0.4,-4.76,10.0,-1.19,0.02,0.74
