Time_ms,Microphone
0,373
22,375
44,457
65,373
87,378
108,437
130,380
152,374
173,440
195,530
217,369
238,369
260,377
281,469
303,349
325,374
346,364
368,524
390,361
411,365
433,363
455,357
476,350
498,366
519,358
541,358
563,498
584,360
606,348
628,516
649,434
671,370
693,389
714,358
736,525
757,389
779,376
801,460
822,363
844,369
866,315
887,362
909,370
930,383
952,313
974,305
995,350
1017,356
1039,401
1060,355
1082,507
1104,489
1125,464
1147,363
1168,364
1190,378
1212,376
1233,363
1255,474
1277,388
1298,454
1320,358
1342,348
1363,410
1385,445
1406,376
1428,363
1450,491
1471,502
1493,365
1515,498
1536,355
1558,483
1579,354
1601,390
1623,380
1644,376
1666,463
1688,403
1709,372
1731,386
1753,392
1774,372
1796,510
1817,340
1839,393
1861,368
1882,354
1904,339
1926,395
1947,374
1969,366
1991,359
2012,394
2034,367
2055,377
2077,369
2099,372
2120,321
2142,413
2164,501
2185,312
2207,369
2228,376
2250,361
2272,349
2293,376
2315,323
2337,505
2358,372
2380,362
2402,380
2423,351
2445,366
2466,360
2488,509
2510,418
2531,360
2553,343
2575,413
2596,370
2618,372
2640,378
2661,375
2683,380
2704,355
2726,377
2748,392
2769,363
2791,369
2813,469
2834,366
2856,477
2877,347
2899,388
2921,363
2942,377
2964,459
2986,325
3007,377
3029,524
3051,377
3072,412
3094,367
3115,459
3137,372
3159,373
3180,327
3202,376
3224,384
3245,419
3267,349
3289,369
3310,450
3332,532
3353,378
3375,449
3397,393
3418,322
3440,321
3462,348
3483,318
3505,387
3526,371
3548,348
3570,386
3591,377
3613,343
3635,363
3656,367
3678,372
3700,364
3721,525
3743,370
3764,454
3786,375
3808,368
3829,418
3851,326
3873,500
3894,381
3916,350
3938,380
3959,366
3981,383
4002,369
4024,374
4046,498
4067,363
4089,354
4111,356
4132,331
4154,349
4175,367
4197,319
4219,350
4240,362
4262,359
4284,371
4305,365
4327,389
4349,388
4370,380
4392,495
4413,358
4435,365
4457,310
4478,528
4500,354
4522,360
4543,387
4565,380
4587,375
4608,540
4630,451
4651,368
4673,457
4695,363
4716,354
4738,518
4760,404
4781,351
4803,456
4824,363
4846,412
4868,364
4889,367
4911,376
4933,450
4954,356
4976,369
4998,368
5019,366
5041,349
5062,368
5084,383
5106,365
5127,376
5149,325
5171,375
5192,382
5214,391
5236,444
5257,400
5279,351
5300,368
5322,398
5344,382
5365,495
5387,372
5409,385
5430,470
5452,428
5473,373
5495,340
5517,370
5538,359
5560,336
5582,515
5603,380
5625,340
5647,371
5668,359
5690,372
5711,333
5733,455
5755,493
5776,362
5798,353
5820,383
5841,357
5863,489
5885,496
5906,378
5928,423
5949,369
5971,374
5993,381
6014,358
6036,395
6058,374
6079,327
6101,379
6122,371
6144,506
6166,478
6187,375
6209,377
6231,381
6252,340
6274,435
6296,362
6317,519
6339,343
6360,452
6382,365
6404,378
6425,387
6447,362
6469,387
6490,355
6512,368
6534,376
6555,361
6577,364
6598,351
6620,373
6642,344
6663,323
6685,472
6707,330
6728,325
6750,348
6771,385
6793,391
6815,353
6836,371
6858,373
6880,360
6901,383
6923,355
